text,likes,replies,date,sentiment
35 000 terorists ?,0,1,2024-11-15T16:46:26Z,0
these comments are heart breaking. this kids are being killed and it’s the state of israel dropping the bombs on them and starving them. what else is there to see? do they need to see the children with their g**ts spilling from them? where is humanity,0,0,2024-09-22T20:35:32Z,0
By the comments you would think Israeli owns CNN. I will go elsewhere for news.,0,0,2024-09-13T14:58:28Z,0
They have been abandoned. AIPAC types pull the strings. It is up to all of us to boycott Israel.,0,0,2024-09-13T14:56:21Z,0
Please be clear that children in Gaza who lost thier lives is because Hamas has been using them as human shields. Let it also be clear that the Gaza people are not innocent when they celebrated and participated in the Oct 7 atrocities by the terrorist  hamas.,0,0,2024-09-10T02:39:21Z,0
If UN cannot condemn Hamas for thier barbaric and evil atrocities on Oct 7 and the numerous rockets fired at Israel civilians. UN and the rest who are anti-Israel are complicit to the terrorist atrocities by Hamas who also uses innocent Palestinians as human shields.,0,0,2024-09-10T02:35:54Z,0
"Shouldn't have started a war then, how stupid are these people? Seriously??",0,0,2024-09-03T16:39:42Z,0
I just can’t believe the whole world leaders watching this and do nothing it’s heartbreaking to watch💔,0,0,2024-08-30T03:37:10Z,0
CNN's pro Israeli stance is sickening to the rest of the world.,0,0,2024-08-29T15:49:47Z,0
0 people would be dead if Hamas didn't use their own people as human shields.,1,1,2024-08-27T02:11:52Z,0
Why isn't the world demanding Hamas to release all hostages!?,0,1,2024-08-26T00:02:22Z,0
"PAIN IS TEMPORARY  SYMPTOMS OF CANCER  BUT IT SHOULD BE CURED OTHERWISEIT COULD BE LETHAL,

ZIONISM CANCER IS SPREADING IN WHOLE REGIONS NOT JUS IN GAZA BUT ALSO AFRICA MIDDLE EAST EVEN IN EUROPE AND ASIA",0,0,2024-08-25T13:46:20Z,0
"Israel is fighting Hamas!! For fucks sake!! and Hamas posing as Palestinians and Palestinians scared out of their minds who side with Hamas although those aren't to blame, so why don't we talk about your wars USA and UK (and I'm from the UK) and how many civilians got killed... Nope? Thats because of your white privilege and ignorance of the actual situation.",0,1,2024-08-25T03:00:24Z,0
"Yes, my dear brothers, my beloved Palestine is the cradle of Christianity and Judaism, and it contains Al-Aqsa, the third holiest place for us Muslims in Palestine. Bethlehem, the cradle of Christ, is a blessed land, and it is the holy land, and it has been our land for tens of thousands of years, and it is the land of the Canaanite Arabs, the original Palestinian people, and they have lived in it since the Islamic conquest in the era. The Umayyad, Abbasid and Ottoman Arabs, Muslims, Christians and Jews are like brothers and neighbors under Palestinian rule to the owners of the land, but the Zionists came and the British occupation brought them to our land as compensation to the Jews for what they did to them Hitler. The question here is that who did the Holocaust, the Germans, why do I, the Palestinian Arab, pay the price? Why not Germany? Why do I, the Muslim, pay the price for crimes? Committed by the Germans and Nazi Europe, fascism is the root of all evil in the world. Our problem is the occupation🙏Palestine is an area of ​​more than 27 thousand square kilometers and is on the borders of Egypt and Jordan, which historically is part of Palestine and the people of Jordan, more than 70 percent of whom are of Palestinian origin, but Britain made them a state and brought agents to the Jordanian ruling dynasty in order to rule Jordan and protect the occupation from the Jordanian-Palestinian people Palestine Its capital, Jerusalem, is the land of the Palestinian people for tens of thousands of years. It is the cradle of Christianity and Judaism, and it is the third holiest place for us Muslims. It is a land where most of God’s prophets lived, were born, and died. It is the holy and blessed land and the land of the Palestinian and Arab people. Muslims, Jews, and Christians lived there for thousands of years as neighbors and brothers before the Zionists occupied our land. Britain brought them in the Balfour Declaration to occupy our land. Those who committed the Holocaust against the Jews were the Germans and the West, not me.🙏🙏🙏اللهم ارنا في امريكا عجائب قدرتك",0,0,2024-08-24T17:49:00Z,0
"Yes, my dear brothers, my beloved Palestine is the cradle of Christianity and Judaism, and it contains Al-Aqsa, the third holiest place for us Muslims in Palestine. Bethlehem, the cradle of Christ, is a blessed land, and it is the holy land, and it has been our land for tens of thousands of years, and it is the land of the Canaanite Arabs, the original Palestinian people, and they have lived in it since the Islamic conquest in the era. The Umayyad, Abbasid and Ottoman Arabs, Muslims, Christians and Jews are like brothers and neighbors under Palestinian rule to the owners of the land, but the Zionists came and the British occupation brought them to our land as compensation to the Jews for what they did to them Hitler. The question here is that who did the Holocaust, the Germans, why do I, the Palestinian Arab, pay the price? Why not Germany? Why do I, the Muslim, pay the price for crimes? Committed by the Germans and Nazi Europe, fascism is the root of all evil in the world. Our problem is the occupation🙏Palestine is an area of ​​more than 27 thousand square kilometers and is on the borders of Egypt and Jordan, which historically is part of Palestine and the people of Jordan, more than 70 percent of whom are of Palestinian origin, but Britain made them a state and brought agents to the Jordanian ruling dynasty in order to rule Jordan and protect the occupation from the Jordanian-Palestinian people Palestine Its capital, Jerusalem, is the land of the Palestinian people for tens of thousands of years. It is the cradle of Christianity and Judaism, and it is the third holiest place for us Muslims. It is a land where most of God’s prophets lived, were born, and died. It is the holy and blessed land and the land of the Palestinian and Arab people. Muslims, Jews, and Christians lived there for thousands of years as neighbors and brothers before the Zionists occupied our land. Britain brought them in the Balfour Declaration to occupy our land. Those who committed the Holocaust against the Jews were the Germans and the West, not me.🙏🙏🙏اللهم ارنا في امريكا عجائب قدرتك",0,0,2024-08-24T17:48:41Z,0
"Why don't you specify and write the full information ?
Israel killed 40k+ human beings 

If they were white, would you react the same ??",0,0,2024-08-24T02:53:49Z,0
"Who blesses Israel will be blessed, who curses Israel will be cursed, will you never believe?....",0,1,2024-08-23T21:55:33Z,0
F around and F out,0,1,2024-08-23T20:59:37Z,0
So-called Health Ministry: Owned by HAMAS! Why believe terrorists??? CNN???,1,0,2024-08-23T20:29:16Z,0
"You can find a million reasons to continue this war. (O hamas did this, Hamas did that, those terrorists need to be punished, and much more)
But the bottom line is, Thousands of innocent men women children have been killed, and the ones who are alive are going through serious suffering.
Even if you think this war is revenge, still is this ok to kill innocent people including children who don't even know what are these fights for??",0,0,2024-08-23T19:44:28Z,0
Palestinians are abandoned by the world.,0,0,2024-08-23T17:26:06Z,0
"October 7, 2023 they are (Palestinian) celebrating, now they are crying 🛑🛑🛑🛑",0,0,2024-08-23T16:41:56Z,0
That is why you coverage the lies of Israely crime😂,0,0,2024-08-23T14:02:24Z,0
No one will aid Hamas.,0,0,2024-08-23T10:42:49Z,0
"Many of them are Hamas terrorists. 
For the others- it's Hamas to blame. They hide behind civilians which is a war crime. 

CNN believes Hamas propaganda and count terrorists under 18 y.o. as ""children"". 

The western world should hold Hamas accountable - on October 7th they started the war by murdering more than 1200 innocent Israeli civilians  - now, they complain...",0,0,2024-08-23T10:29:17Z,0
Maybe next time you'll have the balls to stand up against Isis-Hamas,0,0,2024-08-23T09:09:43Z,0
Now you know how WEAK Isis-Hamas Terrorists are.,0,0,2024-08-23T09:07:23Z,0
Why are women and children on the frontline of war. They should be protected by the govt of Gaza first and foremost.,0,0,2024-08-23T09:05:20Z,0
This is what happens when you elect terrorists who lead you into a war that they can't win.,0,0,2024-08-23T08:20:51Z,0
Not abandoned by the world just their leaders and religious organization,0,0,2024-08-23T07:58:44Z,0
"I began to become convinced that the liberation of these people in the Gaza detention camp would come first when the United States liberated itself from the Israeli lobby. It is not easy and requires courage, but it is definitely worth it so that the United States can regain its role in the world and not the terrifying low level it has reached by attacking and punishing members of the International Court of Justice for condemning genocide and working to stop it! And even rejecting all reports of United Nations human rights organizations.",0,0,2024-08-23T07:20:09Z,0
The hostages forgotten too!,0,0,2024-08-23T07:11:43Z,0
People reacting about Hamas and know nothing 💯 ignorance and hypocrisy.,0,0,2024-08-23T06:09:14Z,0
They are diying directly or indirectly for their desert god allah. Allah is helpless 5o save his slaves.....,0,0,2024-08-23T03:12:37Z,0
It's bad very bad... But then what's the reason behind israel attack. No one talked. WW ll  took lifes of millions but the,0,1,2024-08-23T02:40:29Z,0
Philistinis are abandoned by all fellow muslim countries. They show support theoretically. Not in action. No  muslim country is shelter,0,0,2024-08-23T02:38:57Z,0
"They want this, now they know what it is, i dont feel sorry for this pALISTIAN PEOPLE, KIDS OR OLD ARE SAME",0,0,2024-08-23T01:42:51Z,0
"Well, community of the world feel betray by People in Gaza after religiously gave their government several Billion of $$$ aid annually non stop for many years since 2006. ",1,0,2024-08-23T01:30:33Z,0
Isreal don't make a deal with the devil hamas. Biden is a coward,0,0,2024-08-23T01:05:33Z,0
So what they should of never start a war. When they went and kill all those women and children they were all happy and partying and now there crying. Karma is a bicth,0,1,2024-08-23T01:03:53Z,0
Same ppl who were out on the streets celebrating 9/1 prayers for the idf and god bless Israel 🇮🇱 🙏 ❤️,0,0,2024-08-23T00:54:06Z,0
"Next time you have democratic elections don’t vote in a fundamentalists terrorists organization, Gazans. That’s my best advice for the Palestinians.",0,0,2024-08-23T00:10:47Z,0
The world did not abandoned gaza. Its just that hamas betrayed the world,0,0,2024-08-22T23:51:33Z,0
