text,likes,replies,date,sentiment
"This is injustice, and the “Western world” is silent about it. That was 2021. Now it's 2025 and it's even worse.",0,0,2025-02-22T14:24:07Z,0
"God bless Israel and Palestina,peace",1,0,2025-02-01T16:31:38Z,0
"Why you lie?? ""threatened to broadcast execution?""???? they are not hostages, they are criminal settlers and kllers, most of them soldiers, and our resistance didnt threatened to broadcast execution. you are liar, In the previous and current exchange deal, see all people on the planet, good manners of resist🇵🇸ance with settler detainees, and the criminality of the occupation against the detainees from the Palest🇵🇸inians, the settlements went out as they shake the resistance fighters, and on their faces, the smiles that never lie, while the Palestinian children and the detainees came out and their blood, and their hands are broken. From the severity of torture, the occupation army was torturing the Palest🇵🇸inians and raping them, and all people watched this publicly, this is the difference between us and them.",0,0,2025-01-23T18:45:00Z,0
Philippines  🇵🇭  Mindana0  Camiguin  ISLAND  Catarman  Punta  Purok-2  Poblacion  Tabing  Dagat  Home  Bolebards  M2M  Game  The  World  🌎 Basketball GYM Church  Bolebards,0,0,2024-11-24T05:26:46Z,0
where is human rights where is united nations it's the killing of humanity,0,0,2024-11-21T16:50:04Z,0
Have you ever considered releasing a Sky News Australia Sound Track? I'd buy it.,0,0,2024-10-30T01:40:02Z,0
"The Germans were stupid to start ww2, but palestinians are ten times dumber. Nothing good ever came from those people.",1,0,2024-10-21T05:37:53Z,0
What a ugly city city they live in its a concrete jungle.,1,0,2024-10-21T03:58:26Z,0
"""You reap what you sow""",0,0,2024-10-19T17:41:39Z,0
Why HAMAS invade Israel..? Look what happened Gaza strip..!,3,0,2024-10-19T08:19:28Z,0
"IDF, it's been a year and there is still rubble.  It's supposed to be sand, all of it.",1,0,2024-10-14T00:34:46Z,0
Same thing will happen with Bangladesh if they r not serious and causous,1,0,2024-09-16T01:00:44Z,0
Hamas demons Houties Demons Hezbolah demons 😂😅😊😂😅😊😂😅😊😅😊😊😂😅😊😂😅,1,0,2024-09-15T20:29:41Z,0
"My wife says, What you sow is what you reap.😢",0,0,2024-09-09T12:53:21Z,0
The effects are lame,0,0,2024-09-06T02:18:02Z,0
I wonder if Hamas is regretting their decisions yet,1,2,2024-08-29T20:41:49Z,0
"Santos Dumont commited su1c1d3 cuz everyone was using the plane for attacks
And example is Israel and Palestine",0,0,2024-08-26T14:08:44Z,0
evil country ever same like nazi,0,0,2024-08-22T05:55:05Z,0
I love Israel I love God Yhwh,0,0,2024-08-15T06:06:45Z,0
Islam is a mental illness,1,0,2024-08-11T15:28:52Z,0
Those Jihadis did not warn common Jewish people on 7th oct.. Before attacking Israel..  Then why u expect idf to warn before bombing in Gaza??  Tit for tat,0,0,2024-07-30T07:54:04Z,0
The protesters level of stupidity is insane. They don't even know what they're protesting for. Hypocrites,2,0,2024-07-12T09:24:43Z,0
Islam must need to go to their own country anywherein the worl d,0,0,2024-07-11T12:12:22Z,0
GAZANS WERE PRETTY DUMB TO TAKE ON ISRAEL!!  weren't they?? U reap what you sow!!,0,0,2024-07-09T21:30:20Z,0
Fuck around find out,0,0,2024-07-09T19:39:55Z,0
Bomb them off the planet until hostages are released.,0,0,2024-07-05T17:16:32Z,0
Every Country needs to turn Islam back into dust !!!!,4,0,2024-07-02T07:29:01Z,0
THE PALESTINIAN REFUGEES AND DISPLACED PERSONS SINCE 1948 HAVE THE RIGHT TO RETURN TO THEIR LAND WHERE THEY HAVE LIVED FOR GENERATIONS. WHAT KIND OF EVIL MONSTERS WOULD PREVENT THIS?,1,0,2024-06-20T20:04:59Z,0
Israel don't like terrorism obviously. What I don't get is why do Palestinians want hamas? Look what the consequences are.,1,1,2024-06-16T22:08:37Z,0
In the name of Jesus may he the one raise his hands apon the people on earth,0,0,2024-06-15T21:17:31Z,0
"That is not good all the years.I'll let you know wickedness.Alec gave up wickedness now wickedness , so wickedness",1,0,2024-06-14T15:04:34Z,0
The Holy Bible says - What does it profit a man if he gains the whole world but suffers the loss of his own soul. So true.  Destruction and misery because of evil humans.  Shame.,0,0,2024-06-13T11:45:46Z,0
These people talking winning like its a fucking game are something,0,0,2024-06-10T01:02:40Z,0
With his  weapons,0,0,2024-06-08T08:15:03Z,0
You know  _usa and rusia _ also fight here _withhos weapons -,0,0,2024-06-08T08:14:12Z,0
War … war never changes!,1,0,2024-06-07T15:28:19Z,0
"what's wrong? i thought gazans like boom boom, their whole mentality is boom boom",0,0,2024-06-06T09:29:10Z,0
Islam would do far worse given a chance it would destroy all none muslim countries for sure.,0,0,2024-06-05T04:41:02Z,0
Free Palestine❤️,1,0,2024-05-31T07:35:55Z,0
It’s a fucking lie Israel most of the time tell tell civilians to go out from the and when they don’t telling them it because hamas in there,0,0,2024-05-29T09:46:54Z,0
Hamas absolute bastards they are responsible for a generation of misery in palestine.  Make no mistake Hamas are worse than the lowest life form.,3,0,2024-05-28T09:41:29Z,0
Human rights only for human.not for devil..💪🇮🇱💪,6,0,2024-05-27T18:59:23Z,0
"No one has worked to protect the civilian population of Gaza more than the Israeli Government, INCLUDING the United States, whose actions are as muddled as Joe Biden's thought processes in his quest for votes, by any means or actions.",0,0,2024-05-27T06:18:56Z,0
We all going to live on the sun ☀️ or in the water 💦,0,0,2024-05-26T13:48:43Z,0
Hamas really made bad decisions and still are…..Israel is picking up the pace realizing that Hamas is killing the hostages,2,0,2024-05-26T01:57:22Z,0
"Sad part is, knowing Hamas and the continuous lies and misinformation they spread. All those hostages have probably been murdered already a long time ago.",1,0,2024-05-25T12:24:21Z,0
TERRORISMO JUDIO,0,1,2024-05-21T20:42:12Z,0
War escalates? It's been a full-scale since day one lol,0,0,2024-05-20T23:44:34Z,0
You would think Hamas could have at least got some old school air defenses from Syria???,0,0,2024-05-15T22:39:41Z,0
Hamas forgot newtons third law,0,0,2024-05-15T18:13:05Z,0
Hamas walked by a sleeping bear and prod it with a stick.  What did they expect to happen?  Tuff luck Palestinians.,0,0,2024-05-14T18:09:13Z,0
I guess this is the find out portion of the war,2,0,2024-05-13T17:19:01Z,0
"God was destroyed sodam komara ,why no innocent their",0,0,2024-05-12T13:45:43Z,0
"A nuclear super power against militias with no airforce, no navy, no tanks... you call it a war? It is no different from the armed Jews of the Warsaw Ghetto uprising against the Germans. I don't recall historians call that ""a war"" nor calling the Jews ""terrorists"". I wonder what is the ethnicity of the owners of Sky News.",0,0,2024-05-12T11:04:01Z,0
God wil save the good  Land of good people ISRAEL,1,0,2024-05-12T03:59:10Z,0
These stupid students should be educate that there' s no such name Palestine.  Stand to Save Protect ur People  in the mighty name of Jesus Christ Amen,0,0,2024-05-12T03:56:29Z,0
GOD BLESS SAVE PROTECT THE LAND OF GOOD PEOPLE ISRAEL IN THE MIGHTY NAME OF JESUS CHRIST AMEN,0,0,2024-05-12T03:49:55Z,0
"FREE PALESTIN FROM ISLAM 
FREE IRAN FROM ISLAM 
FREE THE WORLD FROM ISLAM!!",2,0,2024-05-12T02:51:17Z,0
"""This is the most horror war in the history of the world by not proportional, why? because Israel is filming it""",0,0,2024-05-09T23:15:55Z,0
"What  about  the  raped, pregnant  hostages",2,0,2024-05-08T05:05:42Z,0
They are the same people who danced in the streets after 9-11 lite them up,0,0,2024-05-07T00:38:32Z,0
Israel is super power,1,0,2024-05-04T14:07:06Z,0
Israel is devil Free Palastine!!,0,0,2024-05-04T02:10:10Z,0
The ones who support hamas have brought nothing but destruction upon everyone in the world.,0,0,2024-05-03T22:55:16Z,0
We all know how this is going to end.,1,0,2024-05-03T22:54:17Z,0
"Terrorism, violence for power, has consequences. Without lies Islam dies.",1,0,2024-04-26T11:30:56Z,0
Free Palestine  people that’s messed up 😢,0,0,2024-04-26T00:07:03Z,0
What they expected Israel to send them flowers they did it to themselves.,0,0,2024-04-24T06:16:59Z,0
Where is Humen Rights 🖕,0,0,2024-04-22T23:43:55Z,0
Israel is fucked up. They are nothing but bullies,1,0,2024-04-18T00:42:30Z,0
Definition of “fuck around and find out”,190,8,2024-04-13T07:50:49Z,0
What a load of shit,1,0,2024-04-13T04:55:33Z,0
israel doesn't bow down to terrorist,1,0,2024-04-12T05:05:36Z,0
Hamas Israel k azant he jis ne is k Sath mil kr falastin pr hamla kr waya he,0,0,2024-04-11T05:23:49Z,0
Bollocks start a dumd game get even dumber than your previous decisions. Ur kiñllin ur own future,0,0,2024-04-10T05:39:51Z,0
Trump would have prevented Hamas from doing this,0,0,2024-04-07T04:03:06Z,0
LEVE us alone we are not harming any one,1,0,2024-04-06T20:46:36Z,0
YOU LOOK FOR TROUBLES YOU GET TROUBLES !!!!!!!!!!!!!!!!,0,0,2024-04-06T10:22:24Z,0
what a lier! Israel started this war in 1948,2,1,2024-03-29T19:23:14Z,0
So post apocalyptic looking. Terrifying,0,0,2024-03-23T14:32:24Z,0
"It is highly inappropriate to have a soundtrack to the terrible acts being perpetrated in this video.
This is not a movie , it’s war.",0,0,2024-03-19T13:41:59Z,0
"The justification of Israel killing 25,000 WOMEN and CHILDREN (stated by US officials In 5 months) is that the children will eventually become terrorists all of them. If this is what you stand for by all means do you but remember this life means very little compared to when you meet God be ready to answer these same questions. As to why you supported the mass killings and forced starvation of innocent civilians. 

Chemical warfare ( Using white phosphorus on children ), bombing hospitals including medical staff, infants, elderly, Forced starvation, mass killing of children under the age of 4 years old. There are 5000 hostages that Israel has for years now, these are all war crimes. They Invaded Lebanon 2 times and are currently bombing residential homes in Lebanon killing civilians. There is also proof that IOF was responsible of killing their own civilians during October 7th with drones. People are waking up to this now and the world is watching this holocaust happen before their very eyes. Watch what they teach in schools to children in Occupied Palestine. Its all hatred and brainwashing its literally on YouTube take your time do research and if you're human this will mean something to you. Holocaust survivors are all standing against this and are protesting and advocating for Palestine. Imagine if Russia was doing these exact atrocities to Ukraine. Search what Zionism is and its beliefs. A US soldier set himself on fire and his last words were ""Free Palestine"". Never ask a man his salary, a woman her weight, or IOF about evidence and appear to court.",1,0,2024-03-15T06:34:43Z,0
"What's up with the music, is this entertainment to you?",0,1,2024-03-09T18:38:48Z,0
"Jesus said, ""i come to gather you like a han gather chicken under her wings but your people doesn't  your house is abandoned.""Matthew 23:37-37-38",0,0,2024-03-06T15:23:43Z,0
Stop dtop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop 😮😮😮😮stop be hipocrecrecia Gobernantes 🔥🔥🔥🌹❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,2024-03-06T12:18:07Z,0
"Israel 🇮🇱  does not represent..the black jews...they don't recognize them...Israel 🇮🇱 not ancient nor the people that control it..big lie 😮 so many anti-black people, that are evil 😈..stop the purge..",2,0,2024-03-01T20:44:13Z,0
"People are narrow minded in racist, hello black jews....eat that..they did not have to convert 😮😮😮😅",1,0,2024-03-01T20:40:14Z,0
At this point humanity is basically self destructing itself,4,0,2024-03-01T07:46:02Z,0
aint paiback a bitch,0,0,2024-02-28T11:32:48Z,0
The holocaust happened for 1 specific reason,0,0,2024-02-28T09:07:03Z,0
demonic murder of the innocent ?,0,0,2024-02-22T21:57:25Z,0
"Training your children to behave like terrorists, breads terrorists. The war is terribly sad and preventable, but we must remember that the Islamists are to blame, and those who supported them. You can't expect Israelis to feel safe with Palestinians living near them since March 7th. The Islamists' extreme violence of March 7th broke down the false pretenses that many Israelis accepted as reality. 

Jerusalem is the eternal capital of the Jewish people, so you have to understand Jerusalem's historical reality and significance for the Jewish people. It would be like someone claiming Rome as their home and trying to steal it from Italians. No one would accept this lie, so why do they accept the Arab-Islamic lie of Palestinian claims to Jerusalem? Simple, it's called anti-Jewish ideology, which comes from extremist religious or secular lies. 

As for the so-called West Bank, it's historically called Judea and Samaria, which, like Jerusalem, is 100% historically Jewish land. To call it otherwise is a lie and an attempt to steal Jewish land. 

The so-called Palestinians are historically migrants from Eqypt and the old Ottoman Empire. So they can be returned to Arab countries because they're, in fact, Arabs. Egypt, Jordan, Iraq, Saudi Arabia, Syria, and Turkey shouldn't be exempted from taking responsibility for the creation of the Palestinian problem. For every Israeli murdered by an Islamist terrorist, Israel should annex a kilometer of land throughout Israel proper, the Golan Heights, Judea, and Samaria. Paid in full with the blood of its people.

Jordan is 50% Palestinian, so that is where a new Palestinian State should be created, which will allow Palestinians to return, if so desired, to a more viable land with fellow Arabs who are religiously like-minded. In fact, the Palestinians are Arabs who historically come from Egypt and the old Ottoman Empire. So Egypt, Jordan, Turkey, and other Arab nations should accept the so-called Palestinians to their lands until a permanent solution, likely in Eastern Jordan, can be resolved.",0,0,2024-02-17T17:23:43Z,0
"This guy OR YISSACHAR is a fool!!!!!

 Compare the death of Gaza innocent families moms fathers children grandpa grandma to the Israeli solder deaths!!!!!!!!!!!!!

Know who's the terrorist you fool!!!!!!!!!!!!!!!!

 Israel maintains onslaught as Gaza death toll tops 22000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0,0,2024-02-11T01:18:26Z,0
"Behold, I will make them of the synagogue of Satan, which say they are Jews, and are not, but do lie; behold, I will make them to come and worship before thy feet, and to know that I have loved thee.",0,0,2024-02-11T01:11:22Z,0
"which say they are Jews, and are not, but do lie",0,0,2024-02-11T01:11:13Z,0
